order_id,customer_id,product_id,order_timestamp,quantity,unit_price,currency,payment_method,order_status,country,city,sales_channel,shipping_cost,discount,total_amount,created_at
1,1102,602,2024-06-09,3,11.33,USD,paypal,cancelled,Uruguay,Sao Paulo,mobile_app,16.71,2.14,31.85,2025-12-18 04:32:18.745153
2,1435,772,2024-08-13,1,50.94,USD,paypal,cancelled,Argentina,Sao Paulo,mobile_app,16.85,16.73,34.209999999999994,2025-12-18 04:32:18.745153
3,1860,513,2024-01-15,1,65.51,USD,transfer,shipped,Chile,Santiago,web,6.27,8.71,56.800000000000004,2025-12-18 04:32:18.745153
4,1270,658,2024-08-11,4,82.83,USD,credit_card,shipped,Brazil,Sao Paulo,web,7.83,24.84,306.48,2025-12-18 04:32:18.745153
5,1106,651,2024-03-01,1,52.24,USD,credit_card,shipped,Brazil,Montevideo,web,10.66,20.16,32.08,2025-12-18 04:32:18.745153
6,1071,607,2024-05-01,2,44.68,USD,paypal,created,Brazil,Sao Paulo,web,12.74,29.12,60.239999999999995,2025-12-18 04:32:18.745153
7,1700,687,2024-10-03,4,191.14,USD,paypal,paid,Chile,Montevideo,web,7.17,7.64,756.92,2025-12-18 04:32:18.745153
8,1020,597,2024-02-15,4,184.11,USD,transfer,cancelled,Argentina,Montevideo,mobile_app,12.66,14.57,721.87,2025-12-18 04:32:18.745153
9,1614,630,2024-10-20,3,14.16,USD,debit_card,cancelled,Uruguay,Santiago,mobile_app,7.36,15.04,27.440000000000005,2025-12-18 04:32:18.745153
10,1121,792,2024-03-02,1,71.07,USD,debit_card,paid,Chile,Sao Paulo,web,3.0,7.18,63.88999999999999,2025-12-18 04:32:18.745153
11,1466,670,2024-03-26,1,84.0,USD,paypal,cancelled,Brazil,Santiago,mobile_app,2.05,17.7,66.3,2025-12-18 04:32:18.745153
12,1214,682,2024-07-28,2,51.61,USD,transfer,paid,Argentina,Montevideo,mobile_app,3.82,13.3,89.92,2025-12-18 04:32:18.745153
13,1330,538,2024-03-18,3,127.63,USD,paypal,created,Uruguay,Buenos Aires,web,16.26,13.4,369.49,2025-12-18 04:32:18.745153
14,1458,514,2024-07-20,3,129.87,USD,debit_card,created,Uruguay,Sao Paulo,web,19.31,10.88,378.73,2025-12-18 04:32:18.745153
15,1087,503,2024-10-28,4,170.85,USD,paypal,created,Chile,Santiago,web,9.69,0.51,682.89,2025-12-18 04:32:18.745153
16,1372,709,2024-08-10,4,149.47,USD,debit_card,paid,Chile,Buenos Aires,mobile_app,11.23,15.66,582.22,2025-12-18 04:32:18.745153
17,1099,660,2024-08-09,4,110.8,USD,debit_card,paid,Uruguay,Sao Paulo,web,4.64,10.06,433.14,2025-12-18 04:32:18.745153
18,1871,515,2024-01-03,2,132.45,USD,debit_card,delivered,Uruguay,Sao Paulo,mobile_app,11.92,0.04,264.85999999999996,2025-12-18 04:32:18.745153
19,1663,607,2024-01-06,2,58.43,USD,credit_card,cancelled,Brazil,Santiago,mobile_app,4.6,9.24,107.62,2025-12-18 04:32:18.745153
20,1130,726,2024-04-02,4,120.65,USD,credit_card,cancelled,Uruguay,Buenos Aires,mobile_app,13.0,8.36,474.24,2025-12-18 04:32:18.745153
